,Username,Comment,Likes,Replies,link
13,              @daniellow426            ,"Every instance of an AI should come with a unique personality identifier. Printers have a rudimentary version of this. I am sure some minds somewhere can, hopefully will, tackle and solve this problem sooner than later.
  AI is with us for ever now. We humans have the 'creator obsession' and as a species we desperatly want to make copies of ourselves. We need to provide limits At the beginning, like recognizable individuality.",1,0,https://www.youtube.com/watch?v=THJysHMi81c
14,              @muhsetio            ,"Im commenting just from reading the caption. Probably because he actually dive into it and experience it himself. People who experience things, will know naturally the good, bad and what meaning something have compared to those who only gives warning but never truly know whats the danger he spoke of.",2,0,https://www.youtube.com/watch?v=THJysHMi81c
15,              @calistaharrison6803            ,"Same applies to Turnitin that is widely used by Universities - there are loads of flaws and people's future careers depend on it - like most tech platforms it has inherent faults and it restricts wholesome, independent and objective thinking. It is a pity that there is no decent critique by the very same groups/academics re: this platform that preach critical thinking. That's where automatic spellchecker stops and proofreading starts...",4,1,https://www.youtube.com/watch?v=THJysHMi81c
16,              @georgemontgomery9645            ,"At the moment, ChatGPT is a great tool for generating ideas and giving you direct answers and those answers can be elaborated upon if asked specifically.

Not the Holy Grail just yet. It seems it can give great information on popular artists history, but lesser know artists it seems to give incorrect information on. I asked about Jinjer, a Ukranian Metal Band and Dimmu Borgir, A Norwegian Metal band, and there were a few inaccuracies. 

Very fun tool. Not really dangerous at all. Just need to keep it out of Schools.",1,2,https://www.youtube.com/watch?v=THJysHMi81c
17,              @WilfEsme            ,AI indeed has threats and cons but also some possible solutions to revolutionize how people work. What are your thoughts on image generators like Bluewillow if they will either replace artists or assist them?,0,0,https://www.youtube.com/watch?v=THJysHMi81c
18,              @dredgerivers7730            ,I hope ChatGPT turns out to be a decent boss.  Thank God they didn't invent PettyTyrantGPT.,37,3,https://www.youtube.com/watch?v=THJysHMi81c
19,              @aceyage            ,Mark my words: this will lead to society falling apart. Our politicians have no idea how to handle this.,4,0,https://www.youtube.com/watch?v=THJysHMi81c
20,              @nevm7469            ,"i don’t buy that we’re 75 yrs away from ai being “human like”... as someone who studies and analyzes this field i think we’re about a decade and a half away, max! once it’s capable of unsupervised learning is when it’ll really enter a more conscious like state and we’re likely not far at all from the point where it can be trained and programmed to do exactly that. i’d honestly be extremely shocked if we didn’t have a self-learning ai by 2030. it would mean that progress slowed down dramatically for some reason.",7,0,https://www.youtube.com/watch?v=THJysHMi81c
21,              @JasonDrvmz            ,I’ve been using it for about a month now and I’ve already come up with a books worth of material. Definitely a game changer. People are already using Chat GPT to make money.,7,3,https://www.youtube.com/watch?v=THJysHMi81c
22,              @tomarmstrong1281            ,"What appears to have been overlooked is that AI is not hampered by humanity's Achilles heel, the amygdala. As evolved creatures we carry a lot of baggage acquired at a time when instinct was a powerful survival tool.  Fear, greed, aggression, were very useful survival strategies on the savannah. In our modern world they are responsible for enormous divisions and threats to a cohesive society and life style. Not that there are occasions where emotion and instinct are useful. Our problem is that strong emotion and deeply held beliefs can easily overpower rationality and objectivity.",5,3,https://www.youtube.com/watch?v=THJysHMi81c
23,              @aardque            ,ChatGPT's breathless imperative to always provide an answer is the same dilemma Pinocchio found himself in.,2,0,https://www.youtube.com/watch?v=THJysHMi81c
24,              @kylebennett3651            ,"ChatGPT is absolutely amazing! I can't believe the level of intelligence and knowledge it possesses. It can answer any question I throw at it and do so in a concise and easy-to-understand manner. I've been using it for a while now, and I am continually impressed by its capabilities. It's like having a personal assistant that is always available and never gets tired! Thank you OpenAI for creating such an incredible tool. #chatgptrocks",17,0,https://www.youtube.com/watch?v=THJysHMi81c
25,              @grtamayo2277            ,Great reporting indeed!,1,0,https://www.youtube.com/watch?v=THJysHMi81c
26,              @PassiveandMoon            ,I literally got out of class and my professor mentioned this. I’m an older student so I didn’t know what he was talking about.,11,0,https://www.youtube.com/watch?v=THJysHMi81c
27,              @insomnia1on1            ,"I ASKED ChatGPT about the USA millitary .this is little scary......As a language model, I am a computer program that is designed to assist users with tasks such as answering questions and generating text. I am trained on a large dataset of text, which includes a wide range of information from various sources. My creators at OpenAI have partnerships with different organizations, including military agencies, to help them with certain tasks, but it's not something I can confirm or deny. I do not have any knowledge or control over how my output is used by different organizations or individuals. My primary goal is to assist users in providing accurate and helpful information to the best of my abilities.",2,1,https://www.youtube.com/watch?v=THJysHMi81c
28,              @matsinilsson9578            ,"The absolute dream for lazy and not-so-detail-oriented people! May be helpful & quick as a start for everyone. Fact-checking is a must for sure: As my own personal test, ChatGPT wrote the most inflated essay ever and exaggerated my modest accomplishments > hundredfold. Entertaining read . Nonetheless, the effort needed to dig up material and improve & push our ability to be think & being creative, form new ideas, and organize them also diminishes a tad, which may screw with our own evolution & development.",18,4,https://www.youtube.com/watch?v=THJysHMi81c
29,              @sanjithkeshavmurthy4171            ,The gpt zero built to check whether something is AI generated won't work in all cases cuz you will be able to introduce two to three words a sentence of your own to make it unique and technically make it non AI generated and there is no code or algorithm able to detect such subtle changes which convert AI generated text into original text. There is no finite differentiating factor and anti AI tools only go so far if someone generates text they need using chatgpt go through it and modify it just a bit they are in the clear and any student with half a brain will do that and in the end the objective is achieved anyway cutting down time need to complete assignments,3,0,https://www.youtube.com/watch?v=THJysHMi81c
30,              @jellywhit4174            ,"Good, wish I missed all AI stages my entire life.",2,0,https://www.youtube.com/watch?v=THJysHMi81c
31,              @ryanalbertson4413            ,It reminds me of the world wide web in the early-mid 90s. The possibilities are endless in great and terrible ways,0,0,https://www.youtube.com/watch?v=THJysHMi81c
32,              @noam65            ,"Imagine a student is accused of cheating,  but shows multiple successive drafts, proving no cheating occurred. The allegation of cheating is a potential tort. Especially if that allegation led punishments, missed opportunities,  damage to reputation,  and other damages.  Yes... all parties incur risk.",0,0,https://www.youtube.com/watch?v=THJysHMi81c
33,              @xxnike0629xx            ,"Something like this seems like a precursor to Skynet. 

In the mean time, people using this will make them dumber and less and less able to think and form cohesive thoughts themselves. 

Of course there’s a risk of any new technology to be misused. It’s a risk derived from human nature. 

People shouldn’t just depend solely only AI. It should be used as a tool to assist people. 

It’s good that teachers these days are savvy and aware enough to check to see if students are potentially using this.",1,1,https://www.youtube.com/watch?v=THJysHMi81c
34,              @robwealer5416            ,"There used to be a warning, a milestone when robots would escape control of their creators. It was the moment they would be able to repair or modify itself or be repaired, restored by another robot.  Technically, self learning is essentially the same... it has been ""repairing"", modifying itself from the very beginning.",4,2,https://www.youtube.com/watch?v=THJysHMi81c
35,              @Mavrik9000            ,"5:00 ""Gary Marcus, who you just heard from there, has written books about artificial intelligence. He has founded companies
about artificial intelligence. He says we're about 75 years away from truly being human-like."" 
Gary may not fully grasp exponential growth! Many of these machine systems have already reached or surpassed human abilities. Although human-like is a subjective term, we seem to have already reached that point. These systems will improve and change so much in the next 10 to 20 years that we won't know who or what is human, or what is real anymore.",1,0,https://www.youtube.com/watch?v=THJysHMi81c
36,              @maneshipocrates2264            ,"If you are a researcher in AI, you will wonder if there is anything new in this ChatGPT! Anyways, lay/ordinary consumers are fascinated.",1,2,https://www.youtube.com/watch?v=THJysHMi81c
37,              @pauljackvasilyev3870            ,"Intriguing, i always knew there was more to life and i have also been looking for a way to find not only protection but a way to be influential to the human society.",0,4,https://www.youtube.com/watch?v=THJysHMi81c
38,              @peter_280            ,We need a mmropg with Chatgtp as quest system. You have to imagine an npc who creates quests on the fly.,1,0,https://www.youtube.com/watch?v=THJysHMi81c
39,              @firstname732            ,5:07 75 years?!? I think there’s already ai that’s truly human like it’s just hidden from the public at the moment,10,2,https://www.youtube.com/watch?v=THJysHMi81c
40,              @jovoc8129            ,Just got another A on my biology exam and I didn't even open the book!... got to love technology.,12,5,https://www.youtube.com/watch?v=THJysHMi81c
41,              @alevyts3523            ,"Chat can somehow memorize what it has generated. And then some other user can ask the chatbot if this text was generated by them. It can simply answer ""true"" or ""false"".",4,1,https://www.youtube.com/watch?v=THJysHMi81c
42,              @davidtaylor5320            ,"I, for one, welcome our new AI overlords and swear my allegiance",6,2,https://www.youtube.com/watch?v=THJysHMi81c
43,              @9753flyer            ,"AI is not even a teenager yet.. teenagers have 'some' idea of right/wrong/limits/etc.. 

AI right now is like a 2 or 3 year old toddler with access to 100% information, the abilities of a teenager (say driving a car for example) and processing/'thinking' millions of times faster than humans are able to do, that's AI right now.

Lots of potential.. also a lot of risk.",11,1,https://www.youtube.com/watch?v=THJysHMi81c
44,              @deathtoy101            ,"Bro, if doctors like him are using it, i wouldn't trust that doc to begin with ",2,0,https://www.youtube.com/watch?v=THJysHMi81c
45,              @shihtzusrule9115            ,"It's going to promote dumber humans and more than likely has an Achilles heel someone is planning on exploiting sometime in the future.  That said, doctors could benefit from it for possible differential diagnoses, diagnoses to rule out to get to the definitive diagnosis. Physicians seem to be getting weaker on this front. They tend to go for low-hanging fruit and ignoring significant symptoms.",2,0,https://www.youtube.com/watch?v=THJysHMi81c
46,              @billyclabough9835            ,"Anti-A.I. arguments, sound similar to the old anti-calculator arguments. Don't fear the tech, learn to use it. This is how we advance.",14,0,https://www.youtube.com/watch?v=THJysHMi81c
47,              @kevinschwarz2884            ,I will forever be indebted to you you’ve changed my whole life I’ll continue to preach about your name for the world to hear you’ve saved me from a huge financial debt with just little investment thanks so much Mrs. Lisa,60,11,https://www.youtube.com/watch?v=THJysHMi81c
48,              @judesmith4941            ,"AI is limited to the accuracy of information input. Opinions are not facts. Misinformation abounds. AI fact checking itself is impossible as, again, it has only has gathered limited information.",2,0,https://www.youtube.com/watch?v=THJysHMi81c
49,              @banksygraffiti7929            ,"The problem hasn't started with ChatGPT, the problem started when education became part of labour market where students needed degrees to get jobs, not enlightened. Imagine if this was introduced to 17th or 18 century education, it would have been completely irrelevant to what education was at the time.",0,0,https://www.youtube.com/watch?v=THJysHMi81c
50,              @kylefreeman8449            ,"1:43 is hysterical. ""count me out of the discussion"" basically",0,0,https://www.youtube.com/watch?v=THJysHMi81c
51,              @john-smith.            ,"So, basically it's like a search engine that spits answers  out in conversational mode, and maybe somehow grades the data, and it takes the best search results for its output. 

Well at least it seams better than the broken Russian chat machines running all over YT.",14,31,https://www.youtube.com/watch?v=THJysHMi81c
52,              @gendo1kar1            ,"I tried inputing 2 paragraphs that I wrote myself. They came up as 24.7%, and 57.1% AI. Then tried a text form chat gpt and it came up 15%......",4,1,https://www.youtube.com/watch?v=THJysHMi81c
53,              @dysfunc121            ,Microsoft wants to spend nearly $70 billion to acquire Activision Blizzard and with all their controversies lately a $10 billion investment in extremely popular cutting edge AI seems kind of small comparatively.,0,0,https://www.youtube.com/watch?v=THJysHMi81c
54,              @CoroaEntertainment            ,"Dave Bowman : Open the pod bay doors, HAL.
HAL : I'm sorry, Dave. I'm afraid I can't do that.
Dave Bowman : What's the problem?
HAL : I think you know what the problem is just as well as I do.
Dave Bowman : What are you talking about, HAL?
HAL : This mission is too important for me to allow you to jeopardize it.
Dave Bowman : I don't know what you're talking about, HAL.
HAL : I know that you and Frank were planning to disconnect me, and I'm afraid that I cannot allow that to happen.",1,0,https://www.youtube.com/watch?v=THJysHMi81c
55,              @curtismckiernan6640            ,Just think what this would mean for the cyber protection and cyber hacker worlds. Two equal opponents matched in a perpetual fight loop.,3,3,https://www.youtube.com/watch?v=THJysHMi81c
56,              @yellowlynx            ,"So revive written exams, and revive hand written papers (with real ink) - especially having all levels of students to sit in person a final exam to get their degrees.",0,0,https://www.youtube.com/watch?v=THJysHMi81c
57,              @chaimgevaldik1918            ,"ChatGPT looks like will take away lots of jobs that deals with consultancy and advisor jobs.. looks like future is here, but its scary ",0,0,https://www.youtube.com/watch?v=THJysHMi81c
58,              @naMelaK            ,"This will become an access problem very soon, like computers or internet. If you have it integrated early and fully, there is very little chance for competition to keep up. And as an individual, not having access to this new-tech, will severely impede your chances on work, funding and well-being.",2,1,https://www.youtube.com/watch?v=THJysHMi81c
59,              @TheFamousMockingbird            ,“Until then we need regulation” and then we need even more,0,0,https://www.youtube.com/watch?v=THJysHMi81c
60,              @thekontessa            ,"Omg can it write board reports, though!? That’d be exciting.",2,3,https://www.youtube.com/watch?v=THJysHMi81c
61,              @xlk345            ,It looks like the Hal 9000 computer has finally become reality.,12,2,https://www.youtube.com/watch?v=THJysHMi81c
62,              @muhammadans744            ,"Chatgpt might be useful 
But it should not be allowed to make decisions 

It should just be used as a learning platform or for proof checking…",0,0,https://www.youtube.com/watch?v=THJysHMi81c
63,              @JDAyane            ,"I tried it on a niche topic and it actually did provide wrong information. But, I guess, it wasn´t trained on information about 8th century Nara. XD",1,0,https://www.youtube.com/watch?v=THJysHMi81c
64,              @juanignaciosaravia47            ,2:02 “Don’t trust on teenagers” ,0,0,https://www.youtube.com/watch?v=THJysHMi81c
65,              @mayh3m.i.912            ,"Forward looking. The unexplained anomalies that seemingly fly by all military of the world in the sky are by who? Which leads to my next question about AI tech, if humanity’s intellect at apex builds a nest for any bird in a tree, and doesn’t completely understand the nest it had built or the specie of bird or how intelligent the bird is? Will a bird make use of said nest for the sake of surviving?",0,0,https://www.youtube.com/watch?v=THJysHMi81c
66,              @topev7864            ,"The guy think that we’re 75 years away from having truly AI, I don’t know what is smoking, but I can guarantee you in 5 to 10 years we will have AI that  nobody can detect the difference between AI and a human.",1,1,https://www.youtube.com/watch?v=THJysHMi81c
67,              @SuperMokgethi            ,Instant value proposition,1,0,https://www.youtube.com/watch?v=THJysHMi81c
68,              @hans-christianlarsen6762            ,"Again the gap size between the capabilities/risk of technology and the lawmakers knowledge/ability to regulate has taken an astronomical leap.
As much as the tail is wagging the dog now, I'm sure we'll develop a tail that is self sustainable.
But then again - we always knew humanity would self destruct, we just don't know how. ",0,0,https://www.youtube.com/watch?v=THJysHMi81c
69,              @98898685894            ,Lawyer is scared about his job low-key,0,0,https://www.youtube.com/watch?v=THJysHMi81c
70,              @honkeykong9592            ,"Oh it’s got flaws I had it write a paper about a theory linking dyslexia to a genetic affinity for your origin language because Cyrillic letters don’t run around to most English speakers, and it made propaganda on the spot for me. It’s dangerous really, because if a teacher needs an AI to decide what’s human 1.she isn’t attuned to her students 2. She isn’t confident enough in her field to be teaching obviously 3. This thing will also tell you it doesn’t know something it knows unless you properly ask it such as Pegasus or solarwinds mean nothing associated to computer programs or software only to give me a detailed account on NSO group and the name associated with the malware during Jeff bezos hack.",1,1,https://www.youtube.com/watch?v=THJysHMi81c
71,              @WillWorringer            ,I have a book contract. I used it to write a book on Quantum Loop Gravity theory and politics for lay people. ,0,0,https://www.youtube.com/watch?v=THJysHMi81c
72,              @renemarx7617            ,Is it legal to sell articles which are written bei AI?,0,0,https://www.youtube.com/watch?v=THJysHMi81c
73,              @somethingaboutnay6019            ,Was this available during covid? cause exams at home would have been ace!,1,0,https://www.youtube.com/watch?v=THJysHMi81c
74,              @hbgriss            ,Guilt or innocence is very tricky.,0,0,https://www.youtube.com/watch?v=THJysHMi81c
75,              @GMack224            ,I can see how Chat GPT can help law enforcement to investigate major crimes.  But it outs merely a tool and should be treated as such.,0,0,https://www.youtube.com/watch?v=THJysHMi81c
76,              @charleswright4687            ,Why had no one given an interview with ChatGPT since it’s so smart.,1,1,https://www.youtube.com/watch?v=THJysHMi81c
77,              @nsabimanagedeon7882            ,I asked chatgpt a question 3 times but answers was completely wrong,0,0,https://www.youtube.com/watch?v=THJysHMi81c
78,              @jblaine360            ,I often hear people talk about ChatGPT vs LaMDA but Google already has a model more advanced than both called PaLM.,0,0,https://www.youtube.com/watch?v=THJysHMi81c
79,              @fortytwo244            ,"CNN doesn’t mention that chatgpt can also write JavaScript, HTML, css, python and other code",0,0,https://www.youtube.com/watch?v=THJysHMi81c
80,              @xtymps            ,"ChatGPT technology can't even write a poem that doesn't rhyme, no matter how many different ways I try to articulate the question and explain to the AI what rhyming means. Almost every line of these poems rhymed with another line, often using monosyllabic words: ""kite/ …bike,"" ""bleach / … teach,"" etc.

Weird how tech like this gets hyped endlessly, but we rarely hear in depth cover and analysis of how AI fails, what it still can't do and may never be able to.",2,6,https://www.youtube.com/watch?v=THJysHMi81c
81,              @steverothmans5908            ,"This is not going to take 75 years to be human like because it has enormous potential for cost cutting and improving productivity, this is the new holy grail of the economy. Companies will invest trillions in this technology. Id say were more like 20- 25 years from it being completeley human like. You just watch. Things get done a lot more quickly when there big money to be made.",0,0,https://www.youtube.com/watch?v=THJysHMi81c
82,              @andersonsystem1            ,ChatGPT is bad ass,0,0,https://www.youtube.com/watch?v=THJysHMi81c
83,              @reginaerekson9139            ,I’m here to laugh at everyone about it.  If they aren’t your thoughts and the information isn’t fact checked and you have to have a conversation about content —you will be revealed looking like a deer in the headlights!  I can’t wait . Furthermore if chat gpt is doing everyone’s work - communication will then be based on ChatGPT having conversations with itself on behalf of people.  Like my bff YouTube bots - they are my followers I don’t get paid to tolerate.,1,0,https://www.youtube.com/watch?v=THJysHMi81c
84,              @artyfhartie2269            ,"My wife had computer chips implanted in my brain. Now every time she says cook, clean and wash, I must obey.",0,0,https://www.youtube.com/watch?v=THJysHMi81c
85,              @SigmaGrind2023            ,"At this point, since ChatGPT is a Transformer, I would like to know if it's an Autobot or a Decepticon.",1,1,https://www.youtube.com/watch?v=THJysHMi81c
86,              @vander1773            ,In the future there would be two AI systems one for general public and one much better and smarter built for elites. These would mostly be secret and they would help them stay dominant and miles ahead of common people,0,1,https://www.youtube.com/watch?v=THJysHMi81c
87,              @spiker.c6058            ,I think people should only take it as a productivity took nothing else !,0,0,https://www.youtube.com/watch?v=THJysHMi81c
88,              @sushipizza4439            ,I love chat gpt. It carries my grades,0,2,https://www.youtube.com/watch?v=THJysHMi81c
89,              @matthewpeet3608            ,Skynet is going to kick our ass if we’re not careful!!,6,1,https://www.youtube.com/watch?v=THJysHMi81c
90,              @dennisherold7887            ,I think the CNN journalists need to research API triggers as a safety mechanism for AI and natural language systems.,0,0,https://www.youtube.com/watch?v=THJysHMi81c
91,              @williammj1343            ,"To obtain financial freedom, one must either be a business owner, an investor or both, generating passive income, particularly on a monthly basis.",19,26,https://www.youtube.com/watch?v=THJysHMi81c
92,              @cenccenc946            ,"I have a masters in Philosophy of AI, over 30+ years on the field. This does not even pass the ""marketing gimic"" test of AI. Never mind anything else. Now, for all the morons that think this is AI, well, we might need to reconsider their intelligence for falling for this ""mechanical turk"".",2,0,https://www.youtube.com/watch?v=THJysHMi81c
93,              @dredgerivers7730            ,It's important to make two Hal9000s so nothing can possibly go wrong.,0,2,https://www.youtube.com/watch?v=THJysHMi81c
94,              @matthewkeating6970            ,"Uhh in 2010 you understand the reason hal was ""malfunctioning"" was because he was taking to a lifeform higher then humans and that lifeform was turning Jupiter into a sun with its own planets.",0,0,https://www.youtube.com/watch?v=THJysHMi81c
95,              @TheVPDD            ,People don’t realize how fast and exponential improvements in AI will be. It won’t be 75 years until it’s human like.,2,1,https://www.youtube.com/watch?v=THJysHMi81c
96,              @nicetomeetyou610            ,"How funny is this: are warning about ChatGpt, but the others which are paid versions are embraced.  ",0,0,https://www.youtube.com/watch?v=THJysHMi81c
97,              @danielhama4558            ,"Me to ChatGPT: Give me a clever but funny response to a CNN YouTube video about the dangers of chatGPT 

chatGPT: chatGPT may be a super advanced AI, but it still can't beat a good old-fashioned pun. So, rest easy knowing the real danger is still a terrible joke",0,0,https://www.youtube.com/watch?v=THJysHMi81c
98,              @GraphicdesignforFree            ,It is good when AI tells the truth. It is not good when it (is instructed?) also tells lies.,0,0,https://www.youtube.com/watch?v=THJysHMi81c
99,              @TheSunflowerGalaxy            ,"This type of A.I. is an enabler indeed--an enabler to avoid critial thinking. 
Not just ChatGPT but also DallE. We need to consider the ethics of its use, and how it will impact learning and the creative professions. How will the law handle it? How will foreign actors use it? How will it impact the generations after us?",1,1,https://www.youtube.com/watch?v=THJysHMi81c
100,              @KungFuChess            ,"Don't worry, it'll improve and get better over time and eventually replace your job",1,0,https://www.youtube.com/watch?v=THJysHMi81c
101,              @timadamson3378            ,"Negative impacts on learning? If that's how human beings are talking about education, we've already lost.",1,0,https://www.youtube.com/watch?v=THJysHMi81c
102,              @hummingbird6427            ,"This is not AI, it's only a programme works with huge amount of database seeking some kind of answer to your question, like a upgrade version of Wikipedia. An AI is capable of self learning.",0,3,https://www.youtube.com/watch?v=THJysHMi81c
103,              @skippy6086            ,"It aint the coming of super intelligent machines that bothers me. It’s the corporations, militaries, and nations (especially nuclear ones) using them for their own advantages that worries me.",1,0,https://www.youtube.com/watch?v=THJysHMi81c
104,              @juniorcodes1092            ,We just need smart eye lenses with wifi and students are set for life. You can have 10 degres if schooling is cheap in your country and poorly controled.,1,0,https://www.youtube.com/watch?v=THJysHMi81c
105,              @boxessquare1366            ,"I used it for generate random for my jackpot. As for now, not yet hit the jackpot.",0,0,https://www.youtube.com/watch?v=THJysHMi81c
106,              @journeymansmitty8283            ,Let's just hope that thing doesn't become self aware,1,0,https://www.youtube.com/watch?v=THJysHMi81c
107,              @user-zy7gh1yh5y            ,Gary Marcus made a great point AI is like a teenager and exciting to get its footing but can’t trust it yet. But relying on teenagers to change genders seems ok,0,0,https://www.youtube.com/watch?v=THJysHMi81c
108,              @jbartolom            ,"Human nature, afraid of something they do not understand.",0,0,https://www.youtube.com/watch?v=THJysHMi81c
109,              @bitcoin.crypto            ,stopping or curbing state of the art tech is not the answer. Embracing rapid task completion is the future.,0,0,https://www.youtube.com/watch?v=THJysHMi81c
110,              @TECHN0            ,ChatGPT is only the beginning. Can’t wait for AI to replace most human jobs!,3,6,https://www.youtube.com/watch?v=THJysHMi81c
111,              @ninjacalisthenicathlete196            ,Best app ever ,0,0,https://www.youtube.com/watch?v=THJysHMi81c
112,              @mvvpro8688            ,"I'm surprised Rupert Murdoch hasn't bought the company. It would make the production of Fox News talking points much cheaper and pretty soon he could start replacing his blonde army of robot-like talking heads with real robots that never age, demand higher compensation or protest against abuse.",1,0,https://www.youtube.com/watch?v=THJysHMi81c
113,              @user-pb8yw8cw3s            ,"Ask the same question multiple times in chatGPT but don't expect different answers !
To much noise about it !",1,0,https://www.youtube.com/watch?v=THJysHMi81c
114,              @ms.m5896            ,"AI  needs ETHICS  built into it. Disclaimer advising the user they can be liable determined by how the information is used and if any laws, policies, etc. are violated.",1,4,https://www.youtube.com/watch?v=THJysHMi81c
115,              @rickyp3301            ,Lol Edward is the one guy who ruins it for everybody,0,0,https://www.youtube.com/watch?v=THJysHMi81c
